date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:24	5878/5878	---M-Z	200	added ('OK')	application/javascript	etag:%2216f6-5799b7ce-0%22	http://clash-royale.hqhacksandcheats.com/js/chatpro.js	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/js/chatpro.js	(from http://clash-royale.hqhacksandcheats.com/)
21:52:24	1014/1014	---M--	200	added ('OK')	application/javascript	etag:%223f6-5799b7e4-0%22	http://clash-royale.hqhacksandcheats.com/js/morphext.min.js	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/js/morphext.min.js	(from http://clash-royale.hqhacksandcheats.com/)
21:52:25	43/43	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202016%2019:52:26%20GMT	http://clash-royale.hqhacksandcheats.com/phps/ajax_check_lead.php	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/phps/ajax_check_lead.html	(from http://clash-royale.hqhacksandcheats.com/)
21:52:27	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	E:/graphics/CLASHROYALEChatverzija/royale/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://clash-royale.hqhacksandcheats.com/)
21:52:28	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5799b840-0%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.eot	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.eot	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:28	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%22466c-5799b84a-fe5c6c1957233252%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.woff2	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.woff2	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:29	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a8c2-5799b844-0%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.svg	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.svg	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:30	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5799b840-0%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.eot?	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:30	742/742	---M--	200	added ('OK')	image/png	etag:%222e6-5799b774-0%22	http://clash-royale.hqhacksandcheats.com/images/icongreen.png	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/images/icongreen.png	(from http://clash-royale.hqhacksandcheats.com/css/main.css)
21:52:31	688/688	---M--	200	added ('OK')	image/png	etag:%222b0-5799b776-0%22	http://clash-royale.hqhacksandcheats.com/images/iconred.png	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/images/iconred.png	(from http://clash-royale.hqhacksandcheats.com/css/main.css)
21:52:31	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202016%2019:52:33%20GMT	http://clash-royale.hqhacksandcheats.com/images/dark.png	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/images/dark.png	(from http://clash-royale.hqhacksandcheats.com/css/smart-forms.css)
21:52:32	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5799b848-0%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.woff	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.woff	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:32	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202016%2019:52:34%20GMT	http://clash-royale.hqhacksandcheats.com/images/wood.png	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/images/wood.png	(from http://clash-royale.hqhacksandcheats.com/css/smart-forms.css)
21:52:35	45404/45404	---M--	200	added ('OK')	application/vnd.ms-opentype	etag:%22b15c-5799b846-0%22	http://clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.ttf	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/glyphicons-halflings-regular.ttf	(from http://clash-royale.hqhacksandcheats.com/css/bootstrap.min.css)
21:52:44	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211b01-5799b82e-0%22	http://clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont.eot?v=4.1.0	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont862f.eot	(from http://clash-royale.hqhacksandcheats.com/css/font-awesome.min.css)
21:52:44	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211b01-5799b82e-0%22	http://clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont.eot?	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfontd41d.eot	(from http://clash-royale.hqhacksandcheats.com/css/font-awesome.min.css)
21:52:46	253487/253487	---M-Z	200	added ('OK')	image/svg+xml	etag:%223de2f-5799b834-0%22	http://clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont.svg?v=4.1.0	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont862f.svg	(from http://clash-royale.hqhacksandcheats.com/css/font-awesome.min.css)
21:52:47	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202016%2019:52:48%20GMT	http://clash-royale.hqhacksandcheats.com/css/mCSB_buttons.png	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/css/mCSB_buttons.png	(from http://clash-royale.hqhacksandcheats.com/css/jquery.mCustomScrollbar.min.css)
21:52:50	83760/83760	---M--	200	added ('OK')	application/font-woff	etag:%2214730-5799b838-0%22	http://clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont.woff?v=4.1.0	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont862f.woff	(from http://clash-royale.hqhacksandcheats.com/css/font-awesome.min.css)
21:52:57	215429/215429	---M--	200	added ('OK')	image/jpeg	etag:%2234985-5799b5de-0%22	http://clash-royale.hqhacksandcheats.com/css/img/bgcoc.jpg	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/css/img/bgcoc.jpg	(from http://clash-royale.hqhacksandcheats.com/css/main.css)
21:52:58	141564/141564	---M--	200	added ('OK')	application/vnd.ms-opentype	etag:%22228fc-5799b834-0%22	http://clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont.ttf?v=4.1.0	E:/graphics/CLASHROYALEChatverzija/royale/clash-royale.hqhacksandcheats.com/fonts/fontawesome/fontawesome-webfont862f.ttf	(from http://clash-royale.hqhacksandcheats.com/css/font-awesome.min.css)
